HabilityId,HabilityName,Effect
-1,sonido,Evita ataques de sonido.
1,amedrentar,Puede amedrentar a un Pokemon al atacarlo debido al mal olor que emana.
2,llueva,Hace que llueva al entrar en combate.
3,velocidad,Aumenta su velocidad en cada turno.
4,golpes criticos,La robusta coraza que lo protege bloquea los golpes criticos.
5,movimientos fulminantes,El Pokemon no puede debilitarse de un solo golpe cuando tiene los PS al maximo. Tambien evita los movimientos fulminantes.
6,autodestruccion,"Aumenta la humedad del entorno y evita que se puedan utilizar movimientos explosivos, tales como autodestruccion."
7,paralizado,Evita ser paralizado gracias a la flexibilidad de su cuerpo.
8,evasion,Aumenta su evasion durante las tormentas de arena.
9,paralizar,La electricidad estatica que lo envuelve puede paralizar al Pokemon que lo ataque con un movimiento de contacto.
10,tipo electrico,"Si lo alcanza un movimiento de tipo electrico, recupera PS en vez de sufrir dano."
11,tipo agua,"Si lo alcanza un movimiento de tipo agua, recupera PS en vez de sufrir dano."
12,provocado,"Su indiferencia evita que sea provocado, caiga presa del enamoramiento o sufra los efectos de intimidacion."
13,tiempo atmosferico,Anula todos los efectos del tiempo atmosferico.
14,precision,Aumenta la precision de sus movimientos.
15,dormido,Su resistencia al sueno le impide quedarse dormido.
16,tipo,Adopta el tipo del ultimo movimiento del que es blanco.
17,envenenamiento,Su sistema inmunitario evita el envenenamiento.
18,tipo fuego,"Si lo alcanza algun movimiento de tipo fuego, potencia sus propios movimientos de dicho tipo."
19,,El polvo de escamas que lo envuelve lo protege de los efectos secundarios de los ataques recibidos.
20,confusion,"Como le gusta hacer las cosas a su manera, no le afecta la confusion ni sufre los efectos de intimidacion."
21,,"Sus ventosas se aferran al suelo, con lo cual anula movimientos y objetos que fuercen el cambio de Pokemon."
22,ataque,"Al entrar en combate, amilana al rival de tal manera que reduce su ataque."
23,,Pisa la sombra del rival para impedir que huya o lo cambien por otro.
24,contacto,Hiere con su piel aspera al Pokemon que lo ataque con un movimiento de contacto.
25,,"Gracias a un poder misterioso, solo le hacen dano los movimientos supereficaces."
26,tipo tierra,Su capacidad de flotar sobre el suelo le proporciona inmunidad frente a los movimientos de tipo tierra.
27,dormir,"Puede dormir, envenenar o paralizar al Pokemon que lo ataque con un movimiento de contacto."
28,envenenamiento,"Contagia el envenenamiento, las quemaduras o la paralisis al Pokemon que le cause ese estado."
29,,Evita que se reduzcan sus caracteristicas a causa de movimientos o habilidades de otros Pokemon.
30,problemas de estado,Sus problemas de estado desaparecen cuando se retira del combate.
31,tipo electrico,"Atrae y neutraliza los movimientos de tipo electrico, que ademas le aumentan el ataque especial."
32,,Aumenta la probabilidad de que los movimientos causen efectos secundarios.
33,velocidad,Aumenta su velocidad cuando llueve.
34,velocidad,Aumenta su velocidad cuando hace sol.
35,precision,"Al iluminar el entorno, evita que su precision se reduzca."
36,,Copia la habilidad del rival al entrar en combate.
37,,Duplica la potencia de sus ataques fisicos.
38,envenenar,Puede envenenar al Pokemon que lo ataque con un movimiento de contacto.
39,amedrenta,"Gracias a su profunda concentracion, no se amedrenta ante los ataques de otros Pokemon ni sufre los efectos de intimidacion."
40,congelado,"Gracias al magma candente que lo envuelve, no puede ser congelado."
41,quemaduras,Evita las quemaduras gracias a la capa de agua que lo envuelve.
42,tipo acero,Su magnetismo atrae a los Pokemon de tipo acero y les impide huir o ser cambiados por otros.
43,sonido,Su aislamiento acustico lo protege de movimientos que usan sonido.
44,llueve,Recupera PS de forma gradual cuando llueve.
45,tormenta de arena,Crea una tormenta de arena al entrar en combate.
46,PP,Presiona al rival de tal manera que este consume mas PP al usar sus movimientos.
47,tipo fuego,"Gracias a la gruesa capa de grasa que lo protege, reduce a la mitad el dano que recibe de ataques de tipo fuego o hielo."
48,duerme,"Si se duerme, tardara la mitad de tiempo en despertarse."
49,quemar,Puede quemar al Pokemon que lo ataque con un movimiento de contacto.
50,Pokemon salvaje,Puede escapar de cualquier Pokemon salvaje.
51,precision,Su aguda vista evita que su precision se reduzca.
52,ataque,Evita que otros Pokemon le reduzcan el ataque.
53,,"Puede recoger objetos que otros Pokemon hayan usado, o bien aquellos que encuentre en plena aventura."
54,,"Al ejecutar un movimiento, descansara en el turno siguiente."
55,ataque,"Aumenta su ataque, pero reduce su precision."
56,enamoramiento,Puede causar enamoramiento al Pokemon que lo ataque con un movimiento de contacto.
57,ataque especial,Aumenta su ataque especial si un Pokemon aliado tiene la habilidad mas o la habilidad menos.
58,ataque especial,Aumenta su ataque especial si un Pokemon aliado tiene la habilidad mas o la habilidad menos.
59,tipo agua,"Cambia a tipo agua, fuego o hielo en funcion del tiempo atmosferico."
60,,"Los objetos se quedan pegados a su cuerpo, por lo que no pueden robarselos."
61,problemas de estado,Puede curar sus problemas de estado al mudar la piel.
62,problema de estado,"Si sufre un problema de estado, se arma de valor y aumenta su ataque."
63,defensa,"Si sufre un problema de estado, sus escamas especiales reaccionan y aumenta su defensa."
64,PS,Exuda una secrecion viscosa y toxica de intenso hedor que hiere a quienes intentan drenarle PS.
65,tipo planta,Potencia sus movimientos de tipo planta cuando le quedan pocos PS.
66,tipo fuego,Potencia sus movimientos de tipo fuego cuando le quedan pocos PS.
67,tipo agua,Potencia sus movimientos de tipo agua cuando le quedan pocos PS.
68,tipo bicho,Potencia sus movimientos de tipo bicho cuando le quedan pocos PS.
69,,No pierde PS al usar movimientos que tambien hieren al usuario.
70,soleado,El tiempo pasa a ser soleado al entrar en combate.
71,,Evita que el rival huya o sea cambiado por otro.
72,dormido,Su determinacion le impide quedarse dormido.
73,,El humo blanco que lo protege evita que otros Pokemon le reduzcan las caracteristicas.
74,,Duplica la potencia de sus ataques fisicos gracias al yoga.
75,golpes criticos,La robusta coraza que lo protege bloquea los golpes criticos.
763,tiempo atmosferico,Neutraliza todos los efectos del tiempo atmosferico.
77,evasion,Aumenta su evasion si esta confuso.
78,tipo electrico,"Si le alcanza un movimiento de tipo electrico, aumenta su velocidad en vez de sufrir dano."
79,sexo,"Si el objetivo es del mismo sexo, su competitividad le lleva a infligir mas dano. Si es del sexo contrario, en cambio, el dano sera menor."
80,amedrenta,"Cada vez que se amedrenta, aumenta su velocidad debido a su voluntad inquebrantable."
81,evasion,Aumenta su evasion cuando nieva.
82,baya,"Cuando sus PS se ven reducidos a la mitad, engulle la baya que normalmente solo se comeria cuando le quedasen pocos PS."
83,ataque,"Si recibe un golpe critico, monta en colera y su ataque aumenta al maximo."
84,velocidad,Aumenta su velocidad si usa o pierde el objeto que lleva.
85,tipo fuego,"Su cuerpo, resistente al calor, reduce a la mitad el dano recibido por movimientos de tipo fuego."
86,,Duplica los cambios en las caracteristicas.
87,hace sol,"Pierde PS si hace sol y los recupera si llueve o recibe un movimiento de tipo agua. Los movimientos de tipo fuego, por su parte, le hacen mas dano de lo normal."
88,defensa,Compara la defensa y la defensa especial del rival para ver cual es inferior y aumenta su propio ataque o ataque especial segun sea lo mas eficaz.
89,,Aumenta la potencia de los movimientos con los punos.
90,envenenado,"Si resulta envenenado, recupera PS en vez de perderlos."
91,,Potencia aun mas los movimientos cuyo tipo coincida con el suyo.
