IdTipo,NombreTipo,Arrebienta,LeArrebientan,NoArrebientaMucho,LeArrebietanPoco,NoLeHaceNingunDano
1,Acero,14;8;9,7;10;16,1;2;5;7,1;3;4;8;9;11;12;13;14;18,17
2,Agua,7;14;16,5;12,2;4;14,1;2;7;9,0
3,Bicho,12;13;15,7;14;18,1;6;7;8;10;17;18,10;12;16,0
4,Dragon,4,4;8;9,1,2;5;12,0
5,Electrico,2;18,16,4;5;12,1;5;18,0
6,Fantasma,6;13,6;15,15,3;17,10;11
7,Fuego,1;3;9;12,2;14;16,2;4;7;14,1;3;7;8;9;12,0
8,Hada,4;10;15,1;17,1;7;17,3;10;15,4
9,Hielo,4;1215;18,1;7;10;14,1;2;7;9,9,0
10,Lucha,1;9;11;14;15,8;1318,3;8;12;17;18,3;14;15,0
11,Normal,0,10,1;14,0,6
12,Planta,2;13;16,3;7;9;17;18,1;3;4;7;12;17;18,2;5;12;16,0
13,Psiquico,10;17,3;6;15,1;13,10;13,0
14,Roca,3;7;9;18,1;2;10;12;16,1;10;16,7;11;17;18,0
15,Siniestro,6;13,3;8;10,8;10;15,6;15,13
16,Tierra,1;5;7;14;17,2;9;12,3;12,14;17,5
17,Veneno,8;12,13;16,6;14;16;17,3;8;10;12;17,0
18,Volador,3;10;12,5;9;14,1;5;14,3;10;12,16
