HabilityId,HabilityName,Effect
-1,Cacofonia,Evita ataques de sonido.
1,Hedor,Puede amedrentar a un Pokemon al atacarlo debido al mal olor que emana.
2,Llovizna,Hace que llueva al entrar en combate.
3,Impulso,Aumenta su velocidad en cada turno.
4,Armadura batalla,La robusta coraza que lo protege bloquea los golpes criticos.
5,Robustez,El Pokemon no puede debilitarse de un solo golpe cuando tiene los PS al maximo. Tambien evita los movimientos fulminantes.
6,Humedad,'Aumenta la humedad del entorno y evita que se puedan utilizar movimientos explosivos, tales como autodestruccion.'
7,Flexibilidad,Evita ser paralizado gracias a la flexibilidad de su cuerpo.
8,Velo arena,Aumenta su evasion durante las tormentas de arena.
9,Electricidad estatica,La electricidad estatica que lo envuelve puede paralizar al Pokemon que lo ataque con un movimiento de contacto.
10,Absorbe electricidad,'Si lo alcanza un movimiento de tipo electrico, recupera PS en vez de sufrir dano.'
11,Absorbe agua,'Si lo alcanza un movimiento de tipo agua, recupera PS en vez de sufrir dano.'
12,Despiste,'Su indiferencia evita que sea provocado, caiga presa del enamoramiento o sufra los efectos de intimidacion.'
13,Aclimatacion,Anula todos los efectos del tiempo atmosferico.
14,Ojo compuesto,Aumenta la precision de sus movimientos.
15,Insomnio,Su resistencia al sueno le impide quedarse dormido.
16,Cambio color,Adopta el tipo del ultimo movimiento del que es blanco.
17,Inmunidad,Su sistema inmunitario evita el envenenamiento.
18,Absorbe fuego,'Si lo alcanza algun movimiento de tipo fuego, potencia sus propios movimientos de dicho tipo.'
19,Polvo escudo,El polvo de escamas que lo envuelve lo protege de los efectos secundarios de los ataques recibidos.
20,Ritmo propio,'Como le gusta hacer las cosas a su manera, no le afecta la confusion ni sufre los efectos de intimidacion.'
21,Ventosas,'Sus ventosas se aferran al suelo, con lo cual anula movimientos y objetos que fuercen el cambio de Pokemon.'
22,Intimidacion,'Al entrar en combate, amilana al rival de tal manera que reduce su ataque.'
23,Sombra trampa,Pisa la sombra del rival para impedir que huya o lo cambien por otro.
24,Piel tosca,Hiere con su piel aspera al Pokemon que lo ataque con un movimiento de contacto.
25,Superguarda,'Gracias a un poder misterioso, solo le hacen dano los movimientos supereficaces.'
26,Levitacion,Su capacidad de flotar sobre el suelo le proporciona inmunidad frente a los movimientos de tipo tierra.
27,Efecto espora,'Puede dormir, envenenar o paralizar al Pokemon que lo ataque con un movimiento de contacto.'
28,Sincronia,'Contagia el envenenamiento, las quemaduras o la paralisis al Pokemon que le cause ese estado.'
29,Cuerpo puro,Evita que se reduzcan sus caracteristicas a causa de movimientos o habilidades de otros Pokemon.
30,Cura natural,Sus problemas de estado desaparecen cuando se retira del combate.
31,Pararrayos,'Atrae y neutraliza los movimientos de tipo electrico, que ademas le aumentan el ataque especial.'
32,Dicha,Aumenta la probabilidad de que los movimientos causen efectos secundarios.
33,Nado rapido,Aumenta su velocidad cuando llueve.
34,Clorofila,Aumenta su velocidad cuando hace sol.
35,Iluminacion,'Al iluminar el entorno, evita que su precision se reduzca.'
36,Calco,Copia la habilidad del rival al entrar en combate.
37,Potencia,Duplica la potencia de sus ataques fisicos.
38,Punto toxico,Puede envenenar al Pokemon que lo ataque con un movimiento de contacto.
39,Fuerza mental,'Gracias a su profunda concentracion, no se amedrenta ante los ataques de otros Pokemon ni sufre los efectos de intimidacion.'
40,Escudo magma,'Gracias al magma candente que lo envuelve, no puede ser congelado.'
41,Velo agua,Evita las quemaduras gracias a la capa de agua que lo envuelve.
42,Iman,Su magnetismo atrae a los Pokemon de tipo acero y les impide huir o ser cambiados por otros.
43,Insonorizar,Su aislamiento acustico lo protege de movimientos que usan sonido.
44,Cura lluvia,Recupera PS de forma gradual cuando llueve.
45,Chorro arena,Crea una tormenta de arena al entrar en combate.
46,Presion,Presiona al rival de tal manera que este consume mas PP al usar sus movimientos.
47,Sebo,'Gracias a la gruesa capa de grasa que lo protege, reduce a la mitad el dano que recibe de ataques de tipo fuego o hielo.'
48,Madrugar,'Si se duerme, tardara la mitad de tiempo en despertarse.'
49,Cuerpo llama,Puede quemar al Pokemon que lo ataque con un movimiento de contacto.
50,Fuga,Puede escapar de cualquier Pokemon salvaje.
51,Vista lince,Su aguda vista evita que su precision se reduzca.
52,Corte fuerte,Evita que otros Pokemon le reduzcan el ataque.
53,Recogida,'Puede recoger objetos que otros Pokemon hayan usado, o bien aquellos que encuentre en plena aventura.'
54,Pereza,'Al ejecutar un movimiento, descansara en el turno siguiente.'
55,Entusiasmo,'Aumenta su ataque, pero reduce su precision.'
56,Gran encanto,Puede causar enamoramiento al Pokemon que lo ataque con un movimiento de contacto.
57,Mas,Aumenta su ataque especial si un Pokemon aliado tiene la habilidad mas o la habilidad menos.
58,Menos,Aumenta su ataque especial si un Pokemon aliado tiene la habilidad mas o la habilidad menos.
59,Prediccion,'Cambia a tipo agua, fuego o hielo en funcion del tiempo atmosferico.'
60,Viscosidad,'Los objetos se quedan pegados a su cuerpo, por lo que no pueden robarselos.'
61,Mudar,Puede curar sus problemas de estado al mudar la piel.
